web-scraper-order,web-scraper-start-url,Unidade federativa,Abreviação,Sede de governo,Área (km²),População (2014),Densidade (2005),PIB (2015),(% total) (2015),PIB per capita (2015),IDH (2010),Alfabetização (2016),Mortalidade infantil (2016),Expectativa de vida (2016)
"1661902388-14","https://pt.wikipedia.org/wiki/Unidades_federativas_do_Brasil","Pará","PA","Belém","1 247 689,5","8 101 180","5,58","130 883 000","2,2","16 009,98","0,646","90,7%","16,6‰","72,1 anos"
"1661902388-6","https://pt.wikipedia.org/wiki/Unidades_federativas_do_Brasil","Ceará","CE","Fortaleza","148 825,6","8 867 448","54,40","130 621 000","2,2","14 669,14","0,682","84,8%","14,4‰","73,8 anos"
"1661902388-12","https://pt.wikipedia.org/wiki/Unidades_federativas_do_Brasil","Mato Grosso do Sul","MS","Campo Grande","357 125,0","2 630 098","6,34","83 082 000","1,4","31 337,22","0,729","93,7%","14,0‰","75,5 anos"
"1661902388-22","https://pt.wikipedia.org/wiki/Unidades_federativas_do_Brasil","Rondônia","RO","Porto Velho","237 576,2","1 755 015","6,46","36 563 000","0,6","20 677,95","0,690","93,3%","20,0‰","71,3 anos"
"1661902388-27","https://pt.wikipedia.org/wiki/Unidades_federativas_do_Brasil","Tocantins","TO","Palmas","277 620,9","1 502 759","4,70","28 930 000","0,5","19 094,16","0,699","89,6%","15,8‰","73,4 anos"
"1661902388-17","https://pt.wikipedia.org/wiki/Unidades_federativas_do_Brasil","Pernambuco","PE","Recife","98 311,6","9 297 861","85,58","156 955 000","2,6","16 795,34","0,673","87,2%","12,7‰","73,9 anos"
"1661902388-2","https://pt.wikipedia.org/wiki/Unidades_federativas_do_Brasil","Alagoas","AL","Maceió","27 767,7","3 327 551","108,61","46 364 000","0,8","13 877,53","0,631","80,6%","19,5‰","71,6 anos"
"1661902388-18","https://pt.wikipedia.org/wiki/Unidades_federativas_do_Brasil","Piauí","PI","Teresina","251 529,2","3 198 185","11,95","39 148 000","0,7","12 218,51","0,646","82,8%","19,1‰","71,1 anos"
"1661902388-7","https://pt.wikipedia.org/wiki/Unidades_federativas_do_Brasil","Distrito Federal","DF","Brasília","5 822,1","2 867 869","400,73","215 613 000","3,6","73 971,05","0,824","97,4%","10,5‰","78,1 anos"
"1661902388-20","https://pt.wikipedia.org/wiki/Unidades_federativas_do_Brasil","Rio Grande do Norte","RN","Natal","52 796,8","3 419 550","56,88","57 250 000","1","16 631,86","0,684","85,3%","14,7‰","75,7 anos"
